,sample,sim_id,season,age_bin,density_bin,value
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,1,50,0.84793388429756
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,4,50,0.8060747663551999
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,8,50,0.8341772151899001
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,18,50,0.8043022035677
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,28,50,0.7511784511784001
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,43,50,0.7689814814814
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,125,50,0.7522633744856
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,1,500,0.07768595041321999
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,4,500,0.14135514018692
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,8,500,0.11350210970464
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,18,500,0.13824763903464998
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,28,500,0.17979797979794
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,43,500,0.16111111111111998
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,125,500,0.18148148148151
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,1,2000000,0.07438016528926
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,4,2000000,0.05257009345794
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,8,2000000,0.05232067510549
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,18,2000000,0.05745015739769
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,28,2000000,0.06902356902357
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,43,2000000,0.06990740740741
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,125,2000000,0.06625514403292
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,1,50,0.9428104575163
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,4,50,0.96473401075907
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,8,50,0.97076526225279
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,18,50,0.97506033789224
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,28,50,0.9796847635727001
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,43,50,0.9689189189188799
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,125,50,0.98059071729962
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,1,500,0.034313725490197
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,4,500,0.02390914524805
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,8,500,0.015047291487532002
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,18,500,0.018235451863771
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,28,500,0.013309982486864
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,43,500,0.022522522522525
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,125,500,0.017299578059071
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,1,2000000,0.02287581699346
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,4,2000000,0.01135684399283
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,8,2000000,0.01418744625967
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,18,2000000,0.006704210244033
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,28,2000000,0.007005253940455
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,43,2000000,0.008558558558559
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,125,2000000,0.00210970464135
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,1,50,0.81447124304271
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,4,50,0.8588235294118
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,8,50,0.8835147118097
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,18,50,0.8388396454472
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,28,50,0.7585972080354
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,43,50,0.75
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,125,50,0.7375527426160999
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,1,500,0.07421150278293
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,4,500,0.11393188854490001
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,8,500,0.10036275695284
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,18,500,0.13940370668814
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,28,500,0.20497105890361
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,43,500,0.20855855855857
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,125,500,0.22447257383971
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,1,2000000,0.1113172541744
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,4,2000000,0.02724458204334
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,8,2000000,0.0161225312374
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,18,2000000,0.02175664786463
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,28,2000000,0.03643173306095
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,43,2000000,0.04144144144144
0,0,ddcdb4d3-dd60-ea11-a2c5-c4346bcb1550,W2,125,2000000,0.0379746835443
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,1,50,0.8888888888889099
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,4,50,0.9123394751536
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,8,50,0.9250347061545001
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,18,50,0.8637336504161
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,28,50,0.8376777251185
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,43,50,0.8308115543329
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,125,50,0.8271317829457
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,1,500,0.05729166666667
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,4,500,0.06253489670575
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,8,500,0.05923183711245
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,18,500,0.09726516052319001
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,28,500,0.11018957345972
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,43,500,0.1205868867492
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,125,500,0.11356589147286
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,1,2000000,0.05381944444444
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,4,2000000,0.0251256281407
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,8,2000000,0.01573345673299
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,18,2000000,0.03900118906064
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,28,2000000,0.0521327014218
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,43,2000000,0.04860155891793
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DC2,125,2000000,0.0593023255814
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,1,50,0.96637168141595
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,4,50,0.997434581836818
0,15,eccdb4d3-dd60-ea11-a2c5-c4346bcb1550,DH2,8,50,0.99478351591029
