,sample,sim_id,season,age_bin,density_bin,value
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,1.0,0.0,0.9136363636364
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,4.0,0.0,0.7977594339623
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,8.0,0.0,0.867027027027
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,18.0,0.0,0.8379662627703
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,28.0,0.0,0.8114161849711
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,43.0,0.0,0.783525666534
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,inf,0.0,0.7722772277228
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,1.0,50.0,0.02575757575758
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,4.0,50.0,0.07959905660377
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,8.0,50.0,0.04810810810811
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,18.0,50.0,0.05725825611784
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,28.0,50.0,0.07369942196532
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,43.0,50.0,0.08953442101074
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,inf,50.0,0.09199669966997
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,1.0,200.0,0.01060606060606
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,4.0,200.0,0.02889150943396
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,8.0,200.0,0.01459459459459
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,18.0,200.0,0.02043240674745
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,28.0,200.0,0.01806358381503
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,43.0,200.0,0.02626343016315
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,inf,200.0,0.02186468646865
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,1.0,500.0,0.009090909090909
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,4.0,500.0,0.01768867924528
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,8.0,500.0,0.01513513513514
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,18.0,500.0,0.01306723687337
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,28.0,500.0,0.02601156069364
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,43.0,500.0,0.02506963788301
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,inf,500.0,0.0276402640264
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,1.0,inf,0.04090909090909
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,4.0,inf,0.07606132075472
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,8.0,inf,0.05513513513514
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,18.0,inf,0.07127583749109
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,28.0,inf,0.07080924855491
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,43.0,inf,0.07560684440907
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DC2,inf,inf,0.08622112211221
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DH2,1.0,0.0,0.9495652173913
0,3,67b8eaf9-1604-ea11-a2c3-c4346bcb1551,DH2,4.0,0.0,0.8688334300638
