,sample,sim_id,season,age_bin,density_bin,value
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,1.0,0.0,0.9716312056738
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,4.0,0.0,0.9132915002852
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,8.0,0.0,0.8750678978816
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,18.0,0.0,0.8412818571789
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,28.0,0.0,0.7351046698873
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,43.0,0.0,0.7752956636005
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,inf,0.0,0.7211460855529
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,1.0,50.0,0.00531914893617
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,4.0,50.0,0.03308613804906
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,8.0,50.0,0.04780010863661
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,18.0,50.0,0.06510219530659
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,28.0,50.0,0.09661835748792
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,43.0,50.0,0.09154621112571
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,inf,50.0,0.1029055690073
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,1.0,200.0,0.00354609929078
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,4.0,200.0,0.01026811180833
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,8.0,200.0,0.01629549158066
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,18.0,200.0,0.02699974766591
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,28.0,200.0,0.04468599033816
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,43.0,200.0,0.03504161191415
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,inf,200.0,0.04196933010492
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,1.0,500.0,0.00531914893617
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,4.0,500.0,0.006274957216201
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,8.0,500.0,0.01303639326453
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,18.0,500.0,0.01741105223316
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,28.0,500.0,0.0390499194847
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,43.0,500.0,0.03066141042488
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,inf,500.0,0.03107344632768
0,0,2dee373f-1c04-ea11-a2c3-c4346bcb1551,DC2,1.0,inf,0.01418439716312
