,sample,sim_id,season,age_bin,density_bin,value
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,1.0,0.0,0.7975858867224
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,4.0,0.0,0.622591006424
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,8.0,0.0,0.3931905546403
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,18.0,0.0,0.1823936932633
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,28.0,0.0,0.07840290381125
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,43.0,0.0,0.06925145674585
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,inf,0.0,0.06692682926829
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,1.0,50.0,0.08263695450325
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,4.0,50.0,0.1638115631692
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,8.0,50.0,0.2018121911038
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,18.0,50.0,0.2203774486383
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,28.0,50.0,0.1820326678766
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,43.0,50.0,0.1779471089198
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,inf,50.0,0.1851707317073
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,1.0,200.0,0.03342618384401
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,4.0,200.0,0.06825481798715
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,8.0,200.0,0.116419549698
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,18.0,200.0,0.1336598184424
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,28.0,200.0,0.153720508167
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,43.0,200.0,0.1620349619005
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,inf,200.0,0.144
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,1.0,500.0,0.02228412256267
0,1,83c4892d-f903-ea11-a2c3-c4346bcb1551,DC2,4.0,500.0,0.05380085653105
