,sample,sim_id,age_cat,value
0,25,14930485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,93.3953488372093
0,25,14930485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,117.38709677419355
0,25,14930485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,105.08695652173913
0,25,14930485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,107.08588957055214
0,25,14930485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,114.34615384615384
0,25,14930485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,108.98523985239852
0,25,14930485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,114.50925925925925
0,25,14930485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,104.0625
0,2,fd920485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,97.47368421052632
0,2,fd920485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,92.1829268292683
0,2,fd920485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,111.16417910447761
0,2,fd920485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,108.19496855345912
0,2,fd920485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,106.4390243902439
0,2,fd920485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,107.32452830188679
0,2,fd920485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,108.44117647058823
0,2,fd920485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,97.2089552238806
0,10,05930485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,117.0
0,10,05930485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,120.36986301369863
0,10,05930485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,128.01176470588234
0,10,05930485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,132.10344827586206
0,10,05930485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,119.98728813559322
0,10,05930485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,127.19123505976096
0,10,05930485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,131.8080808080808
0,10,05930485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,135.77272727272728
0,19,0e930485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,62.61363636363637
0,19,0e930485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,63.160919540229884
0,19,0e930485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,70.88764044943821
0,19,0e930485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,67.07428571428571
0,19,0e930485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,69.08955223880596
0,19,0e930485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,74.38248847926268
0,19,0e930485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,64.83050847457628
0,19,0e930485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,68.05882352941177
0,29,18930485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,76.08695652173913
0,29,18930485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,75.77777777777777
0,29,18930485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,79.02941176470588
0,29,18930485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,75.64848484848486
0,29,18930485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,72.43362831858407
0,29,18930485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,78.57959183673469
0,29,18930485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,68.45833333333333
0,29,18930485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,73.05405405405405
0,21,10930485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,102.53658536585365
0,21,10930485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,118.72340425531915
0,21,10930485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,101.71232876712328
0,21,10930485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,92.41780821917808
0,21,10930485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,108.0
0,21,10930485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,103.80544747081711
0,21,10930485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,96.14285714285714
0,21,10930485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,105.22727272727273
0,6,01930485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,121.76190476190476
0,6,01930485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,124.8625
0,6,01930485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,135.74666666666667
0,6,01930485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,107.74683544303798
0,6,01930485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,115.4978354978355
0,6,01930485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,110.52439024390245
0,6,01930485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,108.04395604395604
0,6,01930485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,114.27631578947368
0,14,09930485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,99.8936170212766
0,14,09930485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,107.25842696629213
0,14,09930485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,96.13235294117646
0,14,09930485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,114.49375
0,14,09930485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,102.33587786259542
0,14,09930485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,100.36888888888889
0,14,09930485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,107.0
