,sample,sim_id,season,age_bin,density_bin,value
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,1,50,0.69757639620658
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,4,50,0.5530626780626999
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,8,50,0.4388239013595
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,18,50,0.24215700448169
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,28,50,0.13773796192606003
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,43,50,0.11199165797706
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,125,50,0.093750000000003
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,1,500,0.10748155953635999
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,4,500,0.26709401709409997
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,8,500,0.2962377489725
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,18,500,0.294202689027
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,28,500,0.2618514371034
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,43,500,0.2262773722628
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,125,500,0.20208333333337
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,1,2000000,0.1949420442571
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,4,2000000,0.1798433048433
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,8,2000000,0.264938349668
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.4636403064913
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,28,2000000,0.6004106009705
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,43,2000000,0.6617309697602
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DC2,125,2000000,0.7041666666667
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,1,50,0.85574229691872
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,4,50,0.8558823529412
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,8,50,0.750625
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,18,50,0.6256883464801
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,28,50,0.529988239906
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,43,50,0.564182194617
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,125,50,0.4872294372294
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,1,500,0.026610644257698997
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,4,500,0.08366013071895
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,8,500,0.155
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,18,500,0.23619586247953
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,28,500,0.28067424539401
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,43,500,0.26045548654242
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,125,500,0.3041125541125
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,1,2000000,0.1176470588235
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,4,2000000,0.06045751633987
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,8,2000000,0.094375
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,18,2000000,0.1381157910403
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,28,2000000,0.1893375147001
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,43,2000000,0.1753623188406
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,DH2,125,2000000,0.208658008658
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,1,50,0.74582338902146
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,4,50,0.7989637305699999
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,8,50,0.7460073710074
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,18,50,0.6108099969888
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,28,50,0.46974281391827
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,43,50,0.45321637426903
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,125,50,0.49808917197450003
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,1,500,0.07159904534606
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,4,500,0.16856649395508
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,8,500,0.1649262899263
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,18,500,0.24585968081898998
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,28,500,0.25850983358543
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,43,500,0.23600668337507
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,125,500,0.20488322717627
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,1,2000000,0.1825775656325
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,4,2000000,0.03246977547496
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,8,2000000,0.08906633906634
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,18,2000000,0.1433303221921
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,28,2000000,0.2717473524962
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,43,2000000,0.3107769423559
0,0,9f06f1ac-1707-ea11-a2c3-c4346bcb1551,W2,125,2000000,0.2970276008493
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,1,50,0.76232616940578
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,4,50,0.7667035806571
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,8,50,0.8059255856683
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,18,50,0.7247729888733
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,28,50,0.6941154352322
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,43,50,0.6914752650177
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,125,50,0.6885906040269
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,1,500,0.09608091024021001
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,4,500,0.14433370247326
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,8,500,0.13642627468994
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,18,500,0.19465404783224
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,28,500,0.22372626433537998
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,43,500,0.22018551236748002
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,125,500,0.23243847874724
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,1,2000000,0.141592920354
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,4,2000000,0.08896271686969
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,8,2000000,0.05764813964171
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.08057296329454
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,28,2000000,0.08215830043241
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,43,2000000,0.08833922261484
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DC2,125,2000000,0.07897091722595
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,1,50,0.83391812865502
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,4,50,0.92843831531868
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,8,50,0.9143421919614
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,18,50,0.8865619546246999
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,28,50,0.8621706645694
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,43,50,0.8475570032573
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,125,50,0.8554767893895001
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,1,500,0.04795321637427
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,4,500,0.047335072679839996
0,52,6456efb2-1707-ea11-a2c3-c4346bcb1551,DH2,8,500,0.06984405886228601
