,sample,sim_id,season,age_bin,density_bin,value
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,1,50,0.6090909090909
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,4,50,0.26104598737606
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,8,50,0.38575042158517003
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,18,50,0.45936042638246
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,28,50,0.42724128757647
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,43,50,0.45031633792336
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,125,50,0.46750000000000996
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,1,500,0.23454545454550002
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,4,500,0.37691614066720003
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,8,500,0.3920741989882
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,18,500,0.3852431712191
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,28,500,0.4181963288109
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,43,500,0.3963528098251
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,125,500,0.38527777777780003
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,1,2000000,0.1563636363636
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,4,2000000,0.3620378719567
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,8,2000000,0.2221753794266
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.1553964023984
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,28,2000000,0.1545623836127
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,43,2000000,0.1533308522516
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DC2,125,2000000,0.1472222222222
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,1,50,0.9709897610922
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,4,50,0.5624142661179
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,8,50,0.7235195996663
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,18,50,0.8680879413724
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,28,50,0.8795213489257
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,43,50,0.8362068965518
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,125,50,0.8326738270209
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,1,500,0.017064846416382
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,4,500,0.18335619570192
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,8,500,0.16388657214347
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,18,500,0.07161892071952
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,28,500,0.07968452542834001
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,43,500,0.09952978056426
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,125,500,0.10910118711135999
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,1,2000000,0.01194539249147
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,4,2000000,0.2542295381802
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,8,2000000,0.1125938281902
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,18,2000000,0.06029313790806
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,28,2000000,0.04079412564591
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,43,2000000,0.06426332288401
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,DH2,125,2000000,0.05822498586772
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,1,50,0.86412213740457
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,4,50,0.6810661764706
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,8,50,0.8371681415929
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,18,50,0.8928104575164
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,28,50,0.9058223772471
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,43,50,0.9064804035701
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,125,50,0.9159663865546
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,1,500,0.045801526717561
0,0,a142d837-0c0b-ea11-a2c3-c4346bcb1551,W2,4,500,0.17509191176472
