Sample_Id,Sim_Id,AgeBin,Result
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000000,fb920485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,76.5
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000000,fb920485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,73.42168674698796
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000000,fb920485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,73.76354679802955
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000000,fb920485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,67.11155378486056
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000000,fb920485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,69.05555555555556
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000000,fb920485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,70.3265306122449
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000000,fb920485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,63.25333333333333
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000000,fb920485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,73.56410256410257
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000001,fc920485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,105.92307692307692
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000001,fc920485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,109.63095238095238
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000001,fc920485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,116.59148936170212
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000001,fc920485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,103.81363636363636
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000001,fc920485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,122.55813953488372
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000001,fc920485-2fb9-e911-a2c1-c4346bcb1555,40.0-60.0,99.15841584158414
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000001,fc920485-2fb9-e911-a2c1-c4346bcb1555,5.0-10.0,104.12345679012344
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000001,fc920485-2fb9-e911-a2c1-c4346bcb1555,60.0-200.0,118.39726027397259
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000002,fd920485-2fb9-e911-a2c1-c4346bcb1555,0.0-1.0,97.47368421052632
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000002,fd920485-2fb9-e911-a2c1-c4346bcb1555,1.0-3.0,92.1829268292683
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000002,fd920485-2fb9-e911-a2c1-c4346bcb1555,10.0-20.0,106.43902439024392
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000002,fd920485-2fb9-e911-a2c1-c4346bcb1555,20.0-40.0,107.32452830188679
ec09bd7c-2fb9-e911-a2c1-c4346bcb1555.000002,fd920485-2fb9-e911-a2c1-c4346bcb1555,3.0-5.0,111.1641791044776
