,sample,sim_id,age_cat,value
0,3,ca292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,3,ca292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,2,c9292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,2,c9292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,2,c9292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,2,c9292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,2,c9292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,2,c9292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,62.669
0,2,c9292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,2,c9292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,7,d0292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,7,d0292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,7,d0292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,7,d0292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,7,d0292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,7,d0292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,62.195
0,7,d0292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,7,d0292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,0,c6292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,0,c6292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,0,c6292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,0,c6292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,0,c6292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,0,c6292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,60.672
0,0,c6292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,0,c6292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,6,cf292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,6,cf292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,6,cf292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,6,cf292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,6,cf292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,6,cf292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,60.363
0,6,cf292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,6,cf292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,8,d1292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,8,d1292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,8,d1292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,8,d1292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,8,d1292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,8,d1292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,61.621
0,8,d1292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,8,d1292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
