,sample,sim_id,age_cat,value
0,4,cc292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,4,cc292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,4,cc292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,4,cc292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,4,cc292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,4,cc292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,62.57
0,4,cc292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,4,cc292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,9,d2292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,9,d2292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,9,d2292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,9,d2292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,9,d2292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,9,d2292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,63.009
0,9,d2292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,9,d2292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,1,c8292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,1,c8292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,1,c8292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,1,c8292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,1,c8292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,1,c8292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,63.465
0,1,c8292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,1,c8292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,5,cd292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,5,cd292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,5,cd292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,5,cd292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,5,cd292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,5,cd292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,61.809
0,5,cd292f6f-d3b7-e911-a2c1-c4346bcb1555,40.0-60.0,
0,5,cd292f6f-d3b7-e911-a2c1-c4346bcb1555,60.0-200.0,
0,3,ca292f6f-d3b7-e911-a2c1-c4346bcb1555,0.0-1.0,
0,3,ca292f6f-d3b7-e911-a2c1-c4346bcb1555,1.0-3.0,
0,3,ca292f6f-d3b7-e911-a2c1-c4346bcb1555,3.0-5.0,
0,3,ca292f6f-d3b7-e911-a2c1-c4346bcb1555,5.0-10.0,
0,3,ca292f6f-d3b7-e911-a2c1-c4346bcb1555,10.0-20.0,
0,3,ca292f6f-d3b7-e911-a2c1-c4346bcb1555,20.0-40.0,61.147147147147145
