,sample,sim_id,season,age_bin,density_bin,value
0,1,0d8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2830188679245
0,7,138972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3548387096774
0,16,1c8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.4142857142857
0,11,178972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.04444444444444
0,20,268972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.4070351758794
0,42,228972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2196531791908
0,48,2b8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.4708520179372
0,50,2f8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.253164556962
0,30,3a8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.1212121212121
0,51,318972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.7317073170732
0,53,358972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.7018181818182
0,100,b68972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.247619047619
0,55,398972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.25
0,102,bb8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.1111111111111
0,94,e38972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.325
0,32,3e8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2389078498294
0,33,408972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3444444444444
0,105,ce8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3553719008264
0,111,e78972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.34
0,112,ec8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2703703703704
0,36,448972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.01449275362319
0,108,dd8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.5
0,117,088a72df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.7241379310345
0,80,ac8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.06113537117904
0,70,f68972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.0126582278481
0,119,0d8a72df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.0
0,79,671372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.6958333333333
0,71,008a72df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2416666666667
0,82,b28972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.5083333333333
0,60,c18972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.5333333333333
0,61,c98972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.03333333333333
0,144,d11372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.16
0,145,d51372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.23598820059
0,134,f71372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.06666666666667
0,147,e81372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.0
0,159,221472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.0
0,148,ed1372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3933333333333
0,160,c61372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3301886792453
0,150,f31372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.1311475409836
0,171,081472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3388888888889
0,151,fc1372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.07333333333333
0,140,c21372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.6933333333333
0,172,0d1472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2166666666667
0,165,e41372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.1652892561983
0,182,791472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.4333333333333
0,155,131472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3333333333333
0,176,1c1472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2222222222222
0,185,7e1472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.1094890510949
0,197,9c1472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.7041420118343
0,186,801472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3
0,180,6b1472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.08333333333333
0,181,711472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3195020746888
0,191,8d1472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.64039408867
0,192,931472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3547169811321
0,193,971472e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2875
0,2,0e8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3030303030303
0,4,108972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2944444444444
0,8,148972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3166666666667
0,17,1d8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.5738636363636
0,12,188972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.0
0,59,418972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2060301507538
0,23,2c8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.009433962264151
0,43,238972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2879377431907
0,46,278972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.06435643564356
0,26,328972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.1666666666667
0,85,b78972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.4189189189189
0,28,368972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2625
0,87,bc8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3837837837838
0,90,d58972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.5733333333333
0,91,d98972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.4742268041237
0,56,3b8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.3
0,58,3f8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.4444444444444
0,107,da8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.2660944206009
0,113,f38972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.55
0,65,de8972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.02649006622517
0,109,e08972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.06666666666667
0,38,508972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.0
0,110,e48972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.6
0,68,e88972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.137037037037
0,120,b01372e5-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.7666666666667
0,72,058a72df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.5840707964602
0,83,b38972df-3e3d-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.38
