,sample,sim_id,age_cat,value
0,47,ab172099-8db8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,47,ab172099-8db8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,47,ab172099-8db8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,47,ab172099-8db8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,47,ab172099-8db8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,47,ab172099-8db8-e911-a2c1-c4346bcb1555,20.0-40.0,121.331
0,47,ab172099-8db8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,47,ab172099-8db8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,14,9b172099-8db8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,14,9b172099-8db8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,14,9b172099-8db8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,14,9b172099-8db8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,14,9b172099-8db8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,14,9b172099-8db8-e911-a2c1-c4346bcb1555,20.0-40.0,126.42742742742743
0,14,9b172099-8db8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,14,9b172099-8db8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,23,ba172099-8db8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,23,ba172099-8db8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,23,ba172099-8db8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,23,ba172099-8db8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,23,ba172099-8db8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,23,ba172099-8db8-e911-a2c1-c4346bcb1555,20.0-40.0,64.43243243243244
0,23,ba172099-8db8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,23,ba172099-8db8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,18,9f172099-8db8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,18,9f172099-8db8-e911-a2c1-c4346bcb1555,1.0-3.0,
