Sample_Id,Sim_Id,AgeBin,Result
a7c53091-8db8-e911-a2c1-c4346bcb1555.000000,8d172099-8db8-e911-a2c1-c4346bcb1555,0.0-1.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000000,8d172099-8db8-e911-a2c1-c4346bcb1555,1.0-3.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000000,8d172099-8db8-e911-a2c1-c4346bcb1555,10.0-20.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000000,8d172099-8db8-e911-a2c1-c4346bcb1555,20.0-40.0,58.301
a7c53091-8db8-e911-a2c1-c4346bcb1555.000000,8d172099-8db8-e911-a2c1-c4346bcb1555,3.0-5.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000000,8d172099-8db8-e911-a2c1-c4346bcb1555,40.0-60.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000000,8d172099-8db8-e911-a2c1-c4346bcb1555,5.0-10.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000000,8d172099-8db8-e911-a2c1-c4346bcb1555,60.0-200.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000001,8e172099-8db8-e911-a2c1-c4346bcb1555,0.0-1.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000001,8e172099-8db8-e911-a2c1-c4346bcb1555,1.0-3.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000001,8e172099-8db8-e911-a2c1-c4346bcb1555,10.0-20.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000001,8e172099-8db8-e911-a2c1-c4346bcb1555,20.0-40.0,130.571
a7c53091-8db8-e911-a2c1-c4346bcb1555.000001,8e172099-8db8-e911-a2c1-c4346bcb1555,3.0-5.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000001,8e172099-8db8-e911-a2c1-c4346bcb1555,40.0-60.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000001,8e172099-8db8-e911-a2c1-c4346bcb1555,5.0-10.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000001,8e172099-8db8-e911-a2c1-c4346bcb1555,60.0-200.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000002,8f172099-8db8-e911-a2c1-c4346bcb1555,0.0-1.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000002,8f172099-8db8-e911-a2c1-c4346bcb1555,1.0-3.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000002,8f172099-8db8-e911-a2c1-c4346bcb1555,10.0-20.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000002,8f172099-8db8-e911-a2c1-c4346bcb1555,20.0-40.0,124.617
a7c53091-8db8-e911-a2c1-c4346bcb1555.000002,8f172099-8db8-e911-a2c1-c4346bcb1555,3.0-5.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000002,8f172099-8db8-e911-a2c1-c4346bcb1555,40.0-60.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000002,8f172099-8db8-e911-a2c1-c4346bcb1555,5.0-10.0,
a7c53091-8db8-e911-a2c1-c4346bcb1555.000002,8f172099-8db8-e911-a2c1-c4346bcb1555,60.0-200.0,
