,sample,sim_id,season,age_bin,density_bin,value
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,1.0,0.0,0.9417833456153
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,4.0,0.0,0.7195402298851
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,8.0,0.0,0.9174377224199
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,18.0,0.0,0.9216578526626
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,28.0,0.0,0.8996493571548
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,43.0,0.0,0.8766039349872
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,inf,0.0,0.8990858576806
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,1.0,50.0,0.0280029476787
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,4.0,50.0,0.103776683087
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,8.0,50.0,0.05551601423488
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,18.0,50.0,0.06112409297749
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,28.0,50.0,0.08215060945066
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,43.0,50.0,0.1032934131737
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,inf,50.0,0.08370675748342
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,1.0,200.0,0.01179071481209
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,4.0,200.0,0.03776683087028
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,8.0,200.0,0.01565836298932
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,18.0,200.0,0.0153732628213
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,28.0,200.0,0.01552846885958
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,43.0,200.0,0.01817792985458
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,inf,200.0,0.01487721813945
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,1.0,500.0,0.007369196757553
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,4.0,500.0,0.02692939244663
0,1,d8f5c9af-b601-ea11-a2c3-c4346bcb1551,DC2,8.0,500.0,0.003795966785291
