,sample,sim_id,season,age_bin,density_bin,value
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,1,50,0.1322241681261
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,4,50,0.006451612903226
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,8,50,0.007198387561186
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,18,50,0.01370783496842
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,28,50,0.1118677042802
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,43,50,0.2056737588652
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,125,50,0.2332474226804
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,1,200,0.06830122591944
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,4,200,0.009867172675522
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,8,200,0.007486323063634
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,18,200,0.04985888993415
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,28,200,0.1575875486381
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,43,200,0.2480183562787
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,125,200,0.2493556701031
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,1,500,0.03415061295972
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,4,500,0.01062618595825
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,8,500,0.01036567808811
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,18,500,0.09864265555705
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,28,500,0.1784046692607
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,43,500,0.1589486858573
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,125,500,0.1243556701031
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,1,2000000,0.2285464098074
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,4,2000000,0.8721062618596
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,8,2000000,0.9686150302332
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,18,2000000,0.8377906195404
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,28,2000000,0.5315175097276
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,43,2000000,0.3416770963705
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DC2,125,2000000,0.298324742268
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,1,50,0.04669260700389
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,4,50,0.06598984771574
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,8,50,0.03121484814398
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,18,50,0.08089145687165
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,28,50,0.2678396871945
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,43,50,0.2907279029463
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,125,50,0.3333333333333
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,1,200,0.03735408560311
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,4,200,0.05329949238579
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,8,200,0.04611923509561
0,17,2bfe9149-8005-ea11-a2c3-c4346bcb1551,DH2,18,200,0.1026275966433
