,sample,sim_id,age_cat,value
0,59,8b2f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,59,8b2f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,59,8b2f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,59,8b2f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,59,8b2f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,59,8b2f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,60.9049049049049
0,59,8b2f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,59,8b2f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,2,552f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,2,552f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,2,552f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,2,552f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,2,552f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,2,552f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.243
0,2,552f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,2,552f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,16,642f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,16,642f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,16,642f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,16,642f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,16,642f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,16,642f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,59.152
0,16,642f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,16,642f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,23,697c002e-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,23,697c002e-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,23,697c002e-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,23,697c002e-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,23,697c002e-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,23,697c002e-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.697
0,23,697c002e-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,23,697c002e-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,50,822f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,50,822f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,50,822f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,50,822f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,50,822f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,50,822f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.629
0,50,822f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,50,822f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,24,6a7c002e-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,24,6a7c002e-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,24,6a7c002e-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,24,6a7c002e-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,24,6a7c002e-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,24,6a7c002e-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,62.213
0,24,6a7c002e-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,24,6a7c002e-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,6,592f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,6,592f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,6,592f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,6,592f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,6,592f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,6,592f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.191
0,6,592f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,6,592f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,40,772f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,40,772f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,40,772f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,40,772f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,40,772f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,40,772f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,62.282
0,40,772f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
0,40,772f0527-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
0,54,862f0527-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
0,54,862f0527-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
0,54,862f0527-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
0,54,862f0527-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
0,54,862f0527-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
0,54,862f0527-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.724
0,54,862f0527-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
