01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] OutputFileMetadata --> {'Id': '_internal_id', 'Length': 'length', 'FriendlyName': 'friendly_name', 'PathFromRoot': 'path_from_root', 'Url': 'url', 'MimeType': 'mime_type'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] AssetFile --> {'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] AssetCollectionFile --> {'RelativePath': 'relative_path', 'Tags': 'tags', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] AssetCollection --> {'Id': 'id', 'DateCreated': 'date_created', 'Tags': 'tags', 'Assets': 'assets'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] Configuration --> {'EnvironmentName': 'environment_name', 'SimulationInputArgs': 'simulation_input_args', 'WorkingDirectoryRoot': 'working_directory_root', 'ExecutablePath': 'executable_path', 'NodeGroupName': 'node_group_name', 'MaximumNumberOfRetries': 'maximum_number_of_retries', 'Priority': 'priority', 'MinCores': 'min_cores', 'MaxCores': 'max_cores', 'Exclusive': 'exclusive', 'AssetCollectionId': 'asset_collection_id'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] SimulationFile --> {'FileType': 'file_type', 'Description': 'description', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] WorkItemFile --> {'FileType': 'file_type', 'Description': 'description', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] HpcJob --> {'Id': '_internal_id', 'JobId': 'job_id', 'JobState': 'job_state', 'Priority': 'priority', 'WorkingDirectory': 'working_directory', 'OutputDirectorySize': 'output_directory_size', 'SubmitTime': 'submit_time', 'StartTime': 'start_time', 'EndTime': 'end_time', 'ErrorMessage': 'error_message', 'Configuration': 'configuration'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] Simulation --> {'Id': 'id', 'ExperimentId': 'experiment_id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'SimulationState': 'state', 'ErrorMessage': 'error_message', 'Tags': 'tags', 'Configuration': 'configuration', 'Files': 'files', 'HPCJobs': 'hpc_jobs'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] Experiment --> {'Id': 'id', 'SuiteId': 'suite_id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'Tags': 'tags', 'Configuration': 'configuration'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] Suite --> {'Id': 'id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'Tags': 'tags', 'Configuration': 'configuration'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Data.SerializableEntity] WorkItem --> {'Id': 'id', 'Name': 'name', 'Worker': 'worker', 'EnvironmentName': 'environment_name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'State': 'state', 'ErrorMessage': 'error_message', 'HostName': 'host_name', 'WorkerInstanceId': 'worker_instance_id', 'WorkItemPriority': 'priority', 'WorkingDirectory': 'working_directory', 'WorkingDirectorySize': 'working_directory_size', 'AssetCollectionId': 'asset_collection_id', 'Tags': 'tags', 'Files': 'files', 'Plugins': 'plugins'}
01/22 15:59:05 [DEBUG] [10488] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
01/22 15:59:05 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations/bb03339c-713d-ea11-a2c3-c4346bcb1551 {'count': 100000}
01/22 15:59:07 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Experiments/f814758f-713d-ea11-a2c3-c4346bcb1551 {'children': 'Tags'}
01/22 15:59:07 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'filters': 'ExperimentId=f814758f-713d-ea11-a2c3-c4346bcb1551', 'count': 100000}
01/22 15:59:07 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/bb03339c-713d-ea11-a2c3-c4346bcb1551/Output {'flatten': 1}
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/DemographicsSummary.json -> DemographicsSummary.json] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/BinnedReport.json -> BinnedReport.json] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Monthly_Report.json -> MalariaSummaryReport_Monthly_Report.json] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [template_campaign.json -> template_campaign.json] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
01/22 15:59:07 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/XgfRq-RwrDS8r6wDVfPE2BemlrzzOHMeza2-0C.OlAs_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcbXVsdGlzaXRlX3NpbmdsZWN1dHNfSXRlcjJfMjAyMDAxMjJfMjM0NzQyXGE2YlxmMzlcYTI3XGE2YmYzOWEyLTcxM2QtZWExMS1hMmMzLWM0MzQ2YmNiMTU1MVxvdXRwdXRcTWFsYXJpYVN1bW1hcnlSZXBvcnRfTW9udGhseV9SZXBvcnQuanNvbg__/MalariaSummaryReport_Monthly_Report.json
01/22 15:59:08 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/9903339c-713d-ea11-a2c3-c4346bcb1551/Output {'flatten': 1}
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/DemographicsSummary.json -> DemographicsSummary.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/BinnedReport.json -> BinnedReport.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Monthly_Report.json -> MalariaSummaryReport_Monthly_Report.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [template_campaign.json -> template_campaign.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/akYt0rw4nZuhIFs1Yo6ujB89DxB5zOGxIOSBKFLG8xM_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcbXVsdGlzaXRlX3NpbmdsZWN1dHNfSXRlcjJfMjAyMDAxMjJfMjM0NzQyXGU0YlxlMzlcYTI3XGU0YmUzOWEyLTcxM2QtZWExMS1hMmMzLWM0MzQ2YmNiMTU1MVxvdXRwdXRcTWFsYXJpYVN1bW1hcnlSZXBvcnRfTW9udGhseV9SZXBvcnQuanNvbg__/MalariaSummaryReport_Monthly_Report.json
01/22 15:59:08 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/9a03339c-713d-ea11-a2c3-c4346bcb1551/Output {'flatten': 1}
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/DemographicsSummary.json -> DemographicsSummary.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/BinnedReport.json -> BinnedReport.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Monthly_Report.json -> MalariaSummaryReport_Monthly_Report.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [template_campaign.json -> template_campaign.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/FAOY0c4czxpGJw5lTb4fazhdJev6YUP5liVHrZBspgA_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcbXVsdGlzaXRlX3NpbmdsZWN1dHNfSXRlcjJfMjAyMDAxMjJfMjM0NzQyXDAxYlxmMzlcYTI3XDAxYmYzOWEyLTcxM2QtZWExMS1hMmMzLWM0MzQ2YmNiMTU1MVxvdXRwdXRcTWFsYXJpYVN1bW1hcnlSZXBvcnRfTW9udGhseV9SZXBvcnQuanNvbg__/MalariaSummaryReport_Monthly_Report.json
01/22 15:59:08 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/9c03339c-713d-ea11-a2c3-c4346bcb1551/Output {'flatten': 1}
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/DemographicsSummary.json -> DemographicsSummary.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/BinnedReport.json -> BinnedReport.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Monthly_Report.json -> MalariaSummaryReport_Monthly_Report.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [template_campaign.json -> template_campaign.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
01/22 15:59:08 [DEBUG] [10488] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/E79tJxf0TNpy9gzJITVR0doC7mqxoMyq54m1wmmnyCI_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcbXVsdGlzaXRlX3NpbmdsZWN1dHNfSXRlcjJfMjAyMDAxMjJfMjM0NzQyXDBiYlxmMzlcYTI3XDBiYmYzOWEyLTcxM2QtZWExMS1hMmMzLWM0MzQ2YmNiMTU1MVxvdXRwdXRcTWFsYXJpYVN1bW1hcnlSZXBvcnRfTW9udGhseV9SZXBvcnQuanNvbg__/MalariaSummaryReport_Monthly_Report.json
